Abeid ,Newcastle ,4.5,0,0,0.0,0,0.0000,0
Adam ,Stoke City ,5.6,25,5,2.8,454,0.0551,10
Albrighton ,Aston Villa ,4.5,0,0,0.0,0,0.0000,0
Álex Pozuelo ,Swansea ,4.2,9,2,1.0,267,0.0337,7
Allen ,Liverpool ,4.5,3,1,1.0,36,0.0833,1
Alou Diarra ,West Ham ,4.4,1,0,1.0,8,0.1250,0
Amalfitano ,West Brom ,5.2,37,1,4.6,613,0.0604,2
Anderson ,Man Utd ,4.5,6,0,2.0,132,0.0455,0
Anita ,Newcastle ,4.4,19,1,2.1,513,0.0370,1
Arnautovic ,Stoke City ,5.5,22,1,2.8,572,0.0385,2
Arteta ,Arsenal ,6.8,18,4,2.6,440,0.0409,3
Assaidi ,Stoke City ,4.7,5,0,1.7,144,0.0347,0
Ba ,Sunderland ,4.5,0,0,0.0,0,0.0000,0
Bacuna ,Aston Villa ,4.7,38,11,4.2,722,0.0526,2
Bannan ,Crystal Palace ,4.4,10,3,2.0,352,0.0284,11
Barkley ,Everton ,5.5,41,1,3.7,828,0.0495,1
Barry ,Everton ,5.3,19,3,2.7,630,0.0302,1
Bellamy ,Cardiff City ,4.8,21,2,2.3,538,0.0390,0
Ben Arfa ,Newcastle ,6.8,38,0,4.2,641,0.0593,1
Bigirimana ,Newcastle ,4.3,0,0,0.0,0,0.0000,0
